timestamp_ms,mode,airspeed,pitch_deg,v_z,alpha_deg,alpha_raw,del_e,del_a,del_f,del_r,n,J,C_mu,CL,lift_force,CD,drag_force,Cm,pitch_moment,throttle
301,TKOFF,0.01,0.00,-0.01,0.00,-121.75,0.00,40.00,40.00,0.00,1.0,0.833,0.5831,2.3457,0.0,1.4630,0.0,0.2889,0.0,-0.765
401,TKOFF,0.02,0.00,-0.02,0.00,-105.10,0.00,40.00,40.00,0.00,1.0,0.833,0.5831,2.3457,0.0,1.4630,0.0,0.1083,0.0,-0.943
501,TKOFF,0.03,0.00,-0.03,0.00,-100.03,0.00,40.00,40.00,0.00,1.0,0.833,0.5831,2.3457,0.0,1.4630,0.0,-0.0188,-0.0,-0.986
601,TKOFF,0.04,0.00,-0.04,0.00,-97.44,0.00,40.00,40.00,0.00,1.0,0.833,0.5831,2.3457,0.0,1.4630,0.0,0.1094,0.0,-0.997
701,TKOFF,0.05,0.00,-0.05,0.00,-95.50,0.00,40.00,40.00,0.00,1.0,0.833,0.5831,2.3457,0.0,1.4630,0.0,0.0221,0.0,-0.999
801,TKOFF,0.06,0.00,-0.06,0.00,-94.70,0.00,40.00,40.00,0.00,1.0,0.833,0.5831,2.3457,0.0,1.4630,0.0,0.0157,0.0,-1.000
901,TKOFF,0.07,0.00,-0.08,0.00,-93.81,0.00,40.00,40.00,0.00,1.0,0.833,0.5831,2.3457,0.0,1.4630,0.0,0.0254,0.0,-1.000
1001,TKOFF,0.09,0.00,-0.09,0.00,-93.46,0.00,40.00,40.00,0.00,1.0,0.833,0.5831,2.3457,0.0,1.4630,0.0,-0.0083,-0.0,-1.000
1101,TKOFF,0.10,0.00,-0.10,0.00,-92.91,0.00,40.00,40.00,0.00,1.0,0.833,0.5831,2.3457,0.0,1.4630,0.0,0.0000,0.0,-1.000
1201,TKOFF,0.11,0.00,-0.11,0.00,-92.62,0.00,40.00,40.00,0.00,1.0,0.880,0.5254,2.2014,0.0,1.3796,0.0,0.0000,0.0,-1.000
1301,TKOFF,0.12,0.00,-0.12,0.00,-92.37,0.00,40.00,40.00,0.00,1.0,0.988,0.4219,1.9427,0.0,1.2360,0.0,-0.0087,-0.0,-1.000
1401,TKOFF,0.13,0.00,-0.13,0.00,-92.24,0.00,40.00,40.00,0.00,1.0,1.078,0.3582,1.7833,0.0,1.1513,0.0,0.0000,0.0,-1.000
1501,TKOFF,0.14,0.00,-0.14,0.00,-92.25,0.00,40.00,40.00,0.00,1.0,1.158,0.3142,1.6732,0.0,1.0944,0.0,0.0000,0.0,-1.000
1601,TKOFF,0.15,0.00,-0.16,0.00,-92.08,0.00,40.00,40.00,0.00,1.0,1.258,0.2707,1.5644,0.0,1.0395,0.0,0.0054,0.0,-1.000
1701,TKOFF,0.16,0.00,-0.17,0.00,-91.81,0.00,40.00,40.00,0.00,1.0,1.367,0.2341,1.4726,0.0,0.9943,0.0,0.0000,0.0,-1.000
1801,TKOFF,0.17,-0.01,-0.18,0.00,-90.82,5.06,40.00,40.00,-1.13,1.0,1.454,0.2106,1.4967,0.0,0.9986,0.0,-0.0030,-0.0,-0.441
1901,TKOFF,0.18,-0.00,-0.18,0.00,-90.24,10.90,40.00,40.00,-0.96,1.0,1.474,0.2056,1.5795,0.0,1.0310,0.0,0.0013,0.0,-0.106
2001,TKOFF,0.18,0.00,-0.18,0.00,-90.09,14.40,40.00,40.00,0.17,1.0,1.480,0.2042,1.6333,0.0,1.0528,0.0,-0.0047,-0.0,-0.026
2101,TKOFF,0.18,-5.05,-0.18,0.00,-90.28,16.12,40.00,40.00,0.73,1.0,1.480,0.2042,1.6611,0.0,1.0645,0.0,0.0002,0.0,-0.006
2201,TKOFF,0.18,-10.09,-0.18,0.00,-90.50,16.96,40.00,40.00,1.00,1.0,1.480,0.2042,1.6749,0.0,1.0702,0.0,-0.0016,-0.0,-0.001
